id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19252182,"Modern Top-Floor Flat, Balcony, Amazing View",17206053,Marie,,Sagene,59.931257,10.75961197,Entire home/apt,702,20,7,08/10/2017,0.44,1,163
19255949,Great Apartment with big balcony,3739591,Johannes,,Gamle Oslo,59.91333684,10.78057861,Entire home/apt,677,3,1,05/07/2017,0.06,5,0
19256140,"Nice and big room, close to the city center!",61078880,Taina,,Grünerløkka,59.92881608,10.77687389,Private room,448,1,0,,,1,0
19257763,Joelle's cozy city center loft,85923614,Joelle,,Sentrum,59.91130699,10.74428608,Entire home/apt,888,1,25,16/09/2018,1.44,1,12
19259421,Familievennlig leilighet i nærhet til sentrum,57716715,Ida,,St. Hanshaugen,59.93287258,10.74044437,Entire home/apt,1201,3,18,18/11/2018,1.16,1,58
19262338,Spacious apartment with parking and balcony.,57153421,Gunnhild,,Grünerløkka,59.92259788,10.79255759,Entire home/apt,753,3,2,20/07/2018,0.46,1,6
19265331,"Huge beautiful artist flat, central",61376754,Iben,,St. Hanshaugen,59.93283947,10.72662863,Entire home/apt,1100,2,23,04/11/2018,1.6,1,46
19265899,Very close to the sea in Oslo,38740153,Andreas,,Ullern,59.91606823,10.63967444,Entire home/apt,651,13,0,,,1,0
19266985,Modern Apartment near Vigelands Park & Bygdøy,65607467,Ingrid,,Ullern,59.92716378,10.68252777,Entire home/apt,947,7,6,12/07/2018,0.37,1,0
19268232,The house feeling in the middle of Oslo,21055422,Ann Kristin,,St. Hanshaugen,59.92179232,10.738839,Entire home/apt,2047,14,0,,,4,0
19276004,"Unik, sentral, rolig med balkong, direkte flybuss",9709517,Paul Anders,,St. Hanshaugen,59.9259986,10.74800475,Entire home/apt,727,13,0,,,1,132
19276224,Nice apartment with a garden!,76781358,Jeanette,,Nordstrand,59.87307842,10.80568761,Entire home/apt,567,3,0,,,2,0
19276875,Nice apartment in Oslo 10 minutes from City center,68176402,Ingrid,,Bjerke,59.93386064,10.80850233,Entire home/apt,592,2,0,,,1,0
19277720,Sonderland Apartments - Mandalls gate 10-2 (Sleeps 6 - 1 BR),128801744,Andrea,,Gamle Oslo,59.91077833,10.76338171,Entire home/apt,1497,1,8,11/10/2018,0.68,30,327
19278367,Central apartment in Majorstua,124429992,Ola,,Frogner,59.92895966,10.71274836,Entire home/apt,1497,7,14,10/07/2018,0.8,1,157
19278988,Classy and clean apartment på Bislett,84842213,Karoline,,St. Hanshaugen,59.93047422,10.73356591,Entire home/apt,465,2,3,01/07/2018,0.38,1,9
19279401,Quality apartment in Grünerløkka,3739591,Johannes,,Grünerløkka,59.93099425,10.77626283,Entire home/apt,778,3,0,,,5,0
19280114,Cozy flat at Grunerløkka,107861420,Victoria,,Grünerløkka,59.92040645,10.75505606,Entire home/apt,1032,2,1,17/07/2017,0.06,2,0
19280926,"Super central, new fresh in heart of Oslo",135025632,Nina,,Frogner,59.91928444,10.73291566,Private room,1100,1,3,10/11/2017,0.17,1,0
19281071,"Cool place w/private kitchen, bathroom & entrance",135027557,Agnethe,,Nordre Aker,59.94628342,10.79319918,Private room,296,2,1,23/06/2017,0.06,1,0
19285456,Lovely 66m2 meter flat in Torshov (by Grunerløkka),5263726,Hans Christian,,Sagene,59.93637748,10.76289516,Entire home/apt,1150,2,1,20/08/2017,0.07,1,0
19286918,Sentral leilighet på vakre Sagene,48201824,Elin,,Sagene,59.93771299,10.75663497,Entire home/apt,550,2,2,14/08/2017,0.12,1,0
19290286,Charming home with beautiful view over Oslo-fjord!,135078818,Salila,,Nordstrand,59.86594429,10.78511351,Entire home/apt,702,2,14,10/08/2018,0.86,1,0
