id,host_id,host_name,room_type,price,minimum_nights
322,2333776,ýýse Marie,Entire home/apt,702,3
323,2349357,Elisabeth,Entire home/apt,499,5
324,2361091,Silje,Entire home/apt,998,3
325,2380359,Anders,Private room,220,1
326,2381047,Volkolas,Entire home/apt,871,2
327,2384334,Bee,Entire home/apt,719,4
328,2386016,Ingunn,Entire home/apt,947,4
329,2392180,Camilla,Entire home/apt,541,1
330,2392180,Camilla,Private room,347,1
331,2392180,Camilla,Private room,347,30
332,2404408,Anders,Entire home/apt,1159,2
333,2406762,Aksel,Entire home/apt,1785,7
334,2420614,Melissa & Joao,Private room,617,2
335,2420614,Melissa & Joao,Private room,372,2
336,2443176,Nina,Entire home/apt,499,2
337,2464563,Mads,Entire home/apt,381,2
338,2484632,Carina,Entire home/apt,609,1
339,2490919,Vidar Singh,Entire home/apt,1201,3
340,2492720,Pï¿½,Entire home/apt,947,6
341,2492720,Pï¿½,Entire home/apt,609,3
342,2498886,Giorgi,Private room,161,5
343,2498886,Giorgi,Private room,211,5
344,2504313,Petter,Entire home/apt,736,7
345,2508291,Anniken,Entire home/apt,1150,3
346,2516794,Gunnhild,Entire home/apt,499,2
347,2517564,Marit,Private room,448,2
348,2527469,Anders,Entire home/apt,990,5
349,2527801,Karen Emilie,Entire home/apt,897,3
350,2528451,Ragni,Private room,296,1
351,2535043,,Entire home/apt,998,2
352,2566169,Joakim,Entire home/apt,922,3
353,2568577,Jan Ludvig,Entire home/apt,990,4
354,2576384,Ane,Entire home/apt,804,1
355,2589231,Tina,Entire home/apt,592,1
356,2598108,Guro,Entire home/apt,1201,2
357,2601724,Nils Magnus,Entire home/apt,1201,6
358,2603390,Heidi,Entire home/apt,1150,3
359,2603628,Markus,Entire home/apt,1303,2
360,2615916,Ingve,Private room,330,2
361,2650272,Mette,Entire home/apt,804,2
362,2654814,Charles,Private room,1201,2
363,2658951,Magne,Private room,347,2
364,2659479,Camilla & Simon,Private room,474,1
365,2662823,Kjersti,Entire home/apt,998,3
366,2662948,Christina Marie,Entire home/apt,465,3
367,2671242,Bjï¿½ï,Entire home/apt,1903,5
368,2682155,Bili,Entire home/apt,651,2
369,2696810,Jonas,Entire home/apt,804,5
370,2716011,Mark,Entire home/apt,897,4
371,2736914,Eivind,Private room,338,1
372,2736914,Eivind,Entire home/apt,727,4
373,2742566,Sindre,Entire home/apt,710,3
374,2746929,Tom,Entire home/apt,744,2
375,2793327,Rein,Private room,482,2
376,2793832,Marianne,Private room,804,2
377,2821879,Jeanette,Entire home/apt,592,3
378,2828446,Karina Sofie,Entire home/apt,863,2
379,2847116,Karine,Entire home/apt,837,2
380,2857446,Mailen,Entire home/apt,998,7
381,2875796,Eli,Entire home/apt,804,3
382,2881332,Michael & Ida,Entire home/apt,947,2
383,2888799,Stian,Entire home/apt,1802,4
384,2893602,Cathrine,Entire home/apt,651,2
385,2893713,Ida,Entire home/apt,897,2
386,2898485,Anders,Entire home/apt,550,3
387,2900714,Edgar,Private room,491,1
388,2902396,Tore,Private room,998,89
389,2902396,Tore,Entire home/apt,651,30
390,2913198,Marius,Entire home/apt,753,5
391,2914938,Bent,Entire home/apt,550,7
392,2917657,Linda,Entire home/apt,1201,2
393,2922649,Malin,Private room,533,1
394,2929767,Krissa,Entire home/apt,474,3
395,3000069,Adri,Private room,389,2
396,3000069,Adri,Private room,448,2
397,3000829,Daniel,Private room,998,2
398,3031057,Niklas,Entire home/apt,406,4
399,3039892,Erol,Entire home/apt,871,3
400,3040184,Ed & Tonje,Entire home/apt,804,4
401,3044745,Anne,Entire home/apt,1176,2
402,3053559,Nora Thorp,Entire home/apt,1150,2
403,3098004,Siv,Private room,279,1
404,3104494,Arvid,Private room,499,1
405,3105737,Miria,Entire home/apt,804,2
406,3105737,Miria,Entire home/apt,499,7
407,3106784,Hung,Entire home/apt,1066,2
408,3106784,Hung,Entire home/apt,964,2
409,3136036,Ane,Entire home/apt,694,4
410,3137433,Fanney,Entire home/apt,677,1
411,3156670,Marius,Entire home/apt,702,3
412,3162475,Merete,Private room,482,1
413,3162475,Merete,Private room,482,1
414,3163651,Axel & Bjï¿½ï,Private room,533,1
415,3170099,Anne,Entire home/apt,702,4
416,3171427,Liz,Entire home/apt,922,3
417,3171427,Liz,Entire home/apt,787,5
418,3174216,Lise,Entire home/apt,1802,3
419,3175982,Marianne,Entire home/apt,804,3
420,3177350,Cheng,Private room,288,1
